2|1963|"V."|"Thomas"|"Pynchon"|"MLR"|"GR"|||||
2|1937|"U.S.A. (TRILOGY)"|"John Dos"|"Passos"|"MLB"|"GR"|||||
2|1883|"TREASURE ISLAND"|"Robert Louis"|"Stevenson"|"BBC"|"NPR"|||||
2|1908|"THE WIND IN THE WILLOWS"|"Kenneth"|"Grahame"|"BKML"|"BBC"|||||
2|1984|"THE UNBEARABLE LIGHTNESS OF BEING"|"Milan"|"Kundera"|"NPR"|"HB"|||||
2|1949|"THE SHELTERING SKY"|"Paul"|"Bowles"|"MLR"|"MLB"|||||
2|1992|"THE SECRET HISTORY"|"Donna"|"Tartt"|"BBC"|"NPR"|||||
2|1911|"THE SECRET GARDEN"|"Frances Hodgson"|"Burnett"|"BKML"|"BBC"|||||
2|1955|"THE RECOGNITIONS"|"William"|"Gaddis"|"MLR"|"GR"|||||
2|1980|"THE NAME OF THE ROSE"|"Umberto"|"Eco"|"BKML"|"GR"|||||
2|1961|"THE MOVIEGOER"|"Walker"|"Percy"|"MLR"|"MLB"|||||
2|1967|"THE MASTER AND MARGARITA"|"Mikhail"|"Bulgakov"|"GR"|"HB"|||||
2|1930|"THE MALTESE FALCON"|"Dashiell"|"Hammett"|"MLB"|"GR"|||||
2|1943|"THE LITTLE PRINCE"|"Antoine De"|"Saint-Exupery"|"BKML"|"NPR"|||||
2|1937|"THEIR EYES WERE WATCHING GOD"|"Zora Neale"|"Hurston"|"GR"|"HB"|||||
2|1984|"THE HUNT FOR RED OCTOBER"|"Tom"|"Clancy"|"MLR"|"NPR"|||||
2|1905|"THE HOUSE OF MIRTH"|"Edith"|"Wharton"|"MLB"|"GR"|||||
2|1969|"THE GODFATHER"|"Mario"|"Puzo"|"BBC"|"NPR"|||||
2|1980|"THE CLAN OF THE CAVE BEAR"|"Jean M"|"Auel"|"BKML"|"BBC"|||||
2|1903|"THE CALL OF THE WILD"|"Jack"|"London"|"MLR"|"MLB"|||||
2|1988|"THE BEAN TREES"|"Barbara"|"Kingsolver"|"BKML"|"NPR"|||||
2|2000|"THE AMAZING ADVENTURES OF KAVALIER & CLAY"|"Michael"|"Chabon"|"NPR"|"HB"|||||
2|1957|"THE ALEXANDRIA QUARTET"|"Lawrence"|"Durrell"|"MLB"|"GR"|||||
2|1953|"THE ADVENTURES OF AUGIE MARCH"|"Saul"|"Bellow"|"MLB"|"GR"|||||
2|1986|"THE ACCIDENTAL TOURIST"|"Anne"|"Tyler"|"BKML"|"NPR"|||||
2|1979|"SOPHIE'S CHOICE"|"William"|"Styron"|"BKML"|"MLB"|||||
2|1913|"SONS AND LOVERS"|"D.H."|"Lawrence"|"MLB"|"GR"|||||
2|1964|"SOMETIMES A GREAT NOTION"|"Ken"|"Kesey"|"MLR"|"HB"|||||
2|1994|"SNOW FALLING ON CEDARS"|"David"|"Guterson"|"BKML"|"NPR"|||||
2|1975|"SHOGUN"|"James"|"Clavell"|"BKML"|"NPR"|||||
2|1986|"PRINCE OF TIDES"|"Pat"|"Conroy"|"BKML"|"NPR"|||||
2|1817|"PERSUASION"|"Jane"|"Austen"|"BKML"|"BBC"|||||
2|1991|"OUTLANDER"|"Diana"|"Gabaldon"|"BKML"|"NPR"|||||
2|1915|"OF HUMAN BONDAGE"|"W. Somerset"|"Maugham"|"MLR"|"MLB"|||||
2|1851|"MOBY-DICK"|"Herman"|"Melville"|"GR"|"HB"|||||
2|1985|"LOVE IN THE TIME OF CHOLERA"|"Gabriel Garcia"|"Marquez"|"BBC"|"NPR"|||||
2|1985|"LONESOME DOVE"|"Larry"|"McMurtry"|"BKML"|"NPR"|||||
2|1862|"LES MISERABLES"|"Victor"|"Hugo"|"BKML"|"HB"|||||
2|1996|"INFINITE JEST"|"David Foster"|"Wallace"|"GR"|"HB"|||||
2|1910|"HOWARD'S END"|"E.M."|"Forster"|"BKML"|"MLB"|||||
2|1995|"HIS DARK MATERIALS"|"Philip"|"Pullman"|"BBC"|"HB"|||||
2|1899|"HEART OF DARKNESS"|"Joseph"|"Conrad"|"MLR"|"MLB"|||||
2|1860|"GREAT EXPECTATIONS"|"Charles"|"Dickens"|"BBC"|"HB"|||||
2|1990|"GOOD OMENS: THE NICE AND ACCURATE PROPHECIES OF AGNES NUTTER, WITCH"|"Neil"|"Gaiman"|"BBC"|"HB"|||||
2|2004|"GILEAD"|"Marilynne"|"Robinson"|"GR"|"HB"|||||
2|1987|"FRIED GREEN TOMATOES AT THE WHISTLE STOP CAFE"|"Fannie"|"Flagg"|"BKML"|"NPR"|||||
2|1939|"FINNEGANS WAKE"|"James"|"Joyce"|"MLB"|"GR"|||||
2|1944|"FICCIONES"|"Jorge Luis"|"Borges"|"GR"|"HB"|||||
2|1953|"FAHRENHEIT 451"|"Ray"|"Bradbury"|"BKML"|"MLR"|||||
2|1815|"EMMA"|"Jane"|"Austen"|"BKML"|"BBC"|||||
2|1996|"DIVINE SECRETS OF THE YA-YA SISTERHOOD"|"Rebecca"|"Wells"|"BKML"|"NPR"|||||
2|1927|"DEATH COMES FOR THE ARCHBISHOP"|"Willa"|"Cather"|"MLB"|"GR"|||||
2|1842|"DEAD SOULS"|"Nikolai"|"Gogol"|"GR"|"HB"|||||
2|1984|"COLD SASSY TREE"|"Olive Ann"|"Burns"|"BKML"|"NPR"|||||
2|1997|"COLD MOUNTAIN"|"Charles"|"Frazier"|"BKML"|"NPR"|||||
2|1963|"CAT'S CRADLE"|"Kurt"|"Vonnegut"|"NPR"|"HB"|||||
2|1945|"CANNERY ROW"|"John"|"Steinbeck"|"NPR"|"HB"|||||
2|1998|"BRIDGET JONES'S DIARY"|"Helen"|"Fielding"|"BBC"|"NPR"|||||
2|1973|"BREAKFAST OF CHAMPIONS"|"Kurt"|"Vonnegut"|"NPR"|"HB"|||||
2|1985|"BLOOD MERIDIAN"|"Cormac"|"McCarthy"|"MLR"|"GR"|||||
2|1853|"BLEAK HOUSE"|"Charles"|"Dickens"|"BKML"|"BBC"|||||
2|1943|"A TREE GROWS IN BROOKLYN"|"Betty"|"Smith"|"BKML"|"NPR"|||||
2|1950|"A TOWN LIKE ALICE"|"Nevil"|"Shute"|"BBC"|"MLR"|||||
2|1957|"ATLAS SHRUGGED"|"Ayn"|"Rand"|"BKML"|"MLR"|||||
2|1930|"AS I LAY DYING"|"William"|"Faulkner"|"MLR"|"MLB"|||||
2|1916|"A PORTRAIT OF THE ARTIST AS A YOUNG MAN"|"James"|"Joyce"|"MLR"|"MLB"|||||
2|1924|"A PASSAGE TO INDIA"|"E.M."|"Forster"|"BKML"|"MLB"|||||
2|1908|"ANNE OF GREEN GABLES"|"LM"|"Montgomery"|"BKML"|"BBC"|||||
2|1971|"ANGLE OF REPOSE"|"Wallace"|"Stegner"|"MLB"|"NPR"|||||
2|1925|"AN AMERICAN TRAGEDY"|"Theodore"|"Dreiser"|"MLB"|"GR"|||||
2|1946|"ALL THE KING'S MEN"|"Robert Penn"|"Warren"|"MLB"|"GR"|||||
2|1961|"A HOUSE FOR MR BISWAS"|"V.S."|"Naipaul"|"MLB"|"GR"|||||
2|1929|"A FAREWELL TO ARMS"|"Ernest"|"Hemingway"|"MLR"|"MLB"|||||
2|1980|"A CONFEDERACY OF DUNCES"|"John Kennedy"|"Toole"|"NPR"|"GR"|||||
2|1962|"A CLOCKWORK ORANGE"|"Anthony"|"Burgess"|"MLR"|"MLB"|||||
2|1843|"A CHRISTMAS CAROL"|"Charles"|"Dickens"|"BKML"|"BBC"|||||
1|1911|"ZULEIKA DOBSON"|"Max"|"Beerbohm"|"MLB"||||||
